FIPS,County,life_expectancy,exercise_access,food_environment_index,some_college,high_school_completion,broadband_access,social_association_rate,unemployment_rate,children_poverty,severe_housing_problems,uninsured_rate,poor_or_fair_health,poor_physical_health_days,poor_mental_health_days,income_inequality,child_care_cost_burden,rural_percent,median_household_income,per_capita_income,poverty_rate,population,economic_score,health_score,education_score,community_access_score,housing_family_score,livability_score,predicted_livability_score,rank,category
42001,Adams,78.834616419,73.226322074,8.8,58.919109855,90.722749936,88.557570958,12.35534345,2.5976856982,12.6,9.6592332749,7.0426458671,16.8,4.2742869935,5.7031662686,3.6076841198,35.326644254,63.257327736,67253,31590,7.753735974201686,98301,76.02560661506318,55.00784633439066,57.698548231595574,63.47297344640953,74.59282638438255,65.07958186983542,63.219251495617094,14,Good
42003,Allegheny,76.924253666,93.326285925,8.4,80.501160817,95.469783194,89.830322393,11.343982135,3.304604746,15.2,12.658378606,4.7035785754,16.1,3.9487163096,5.37828198,5.0773063271,36.468465642,2.4146434689,61043,38709,11.632414523805519,1189220,57.39648964860612,66.48733692433355,99.18180980306981,66.99421004141625,63.12470298039565,70.03874489053119,69.38784136970497,8,Good
42005,Armstrong,75.271340231,72.26120382,8.5,55.13427021,93.06185567,84.653836541,19.151466477,3.9286978346,15.4,10.052337123,5.5981407486,19.6,4.3702274255,5.7884741875,4.0766444963,32.730287219,64.944019037,51410,27715,11.071554621203985,65167,51.540738032452545,44.85825648247974,63.194048238788184,65.76160964798292,72.76948928356181,56.456785553666954,55.19056270625074,28,Average
42007,Beaver,75.61570245,86.362096127,7.8,69.257604658,95.080192135,87.741576936,13.822075484,4.0721876683,12.7,10.283762114,4.905372813,16.1,3.9381652062,5.4243111376,4.4208721704,32.564401759,28.921320929,57807,31305,11.024654445642584,163216,52.04978161949559,62.98427003297828,85.9594142064789,60.5652536569094,76.4281824238293,65.28049112630836,65.17105108548937,12,Good
42009,Bedford,76.216264699,57.983899784,8.1,51.545463639,89.959896878,82.072559834,18.347462989,3.5093419984,14.3,10.059477631,7.3657615637,18.9,4.6447041525,6.0483132761,4.6445280881,33.193298925,90.65304664,50509,26078,11.898675829701642,47728,48.280408268400876,36.76368807742344,46.98429335299717,53.36108397008354,73.81043466030975,48.457109232019064,48.14799781662621,50,Average
42011,Berks,77.814755259,86.211930073,8.5,58.285019104,88.379686474,88.053258792,10.779441932,3.4789038267,17.9,13.01033955,7.4914433398,18.1,4.0584954099,5.2011242059,4.4976326481,37.932720904,26.55480134,63728,31571,11.997954767762398,404844,56.95741704201405,58.72650072093809,47.60698471491743,62.61990363301341,56.69100075674262,56.3523328564485,58.180669531187796,21,Average
42013,Blair,74.731859602,75.449023791,8.1,56.560186455,93.217596842,84.685843159,17.846519929,3.3275727695,18.0,11.389634935,6.321429343,20.0,4.3460288597,5.9420663037,4.4891959042,39.050064652,25.738874143,49181,28119,14.665115506066146,120340,48.52088829707605,39.624429306769194,65.29907183336995,61.62226811613404,58.61936776346687,52.627465176255896,52.77990683203953,33,Average
42015,Bradford,77.151757359,61.907382394,8.2,51.598693704,91.06551019,84.114019684,14.198376374,3.2746737571,17.6,10.232653902,7.5859378387,17.6,4.3712599282,5.7284513465,4.5577191052,35.568793863,72.978471493,52358,28392,12.707200691638818,60147,51.721979211394554,47.55566295070798,51.49121570622704,52.024572802240975,65.78857099645681,52.08629566232259,51.74793575936071,38,Average
42017,Bucks,79.089937505,91.856936483,9.1,73.219756507,94.892174562,94.06841251,7.8598070859,3.0070227105,7.5,13.270799347,5.2565709585,15.9,3.6936673057,5.2711194143,4.2348987821,36.063398314,10.296842568,89139,45849,5.865802090828974,618415,85.50687594695465,74.01071534938607,89.30904813850977,72.332593749623,73.57763929518585,80.2242042410969,80.44690683521137,3,Excellent
42019,Butler,77.771240988,84.623999422,8.9,73.581844143,95.672984602,89.566951212,11.657374557,3.1112597005,9.8,10.750973011,4.2669497672,12.9,3.7673393157,5.2973108731,4.6121307513,31.562893625,43.308578005,70668,37811,8.24281502300846,181455,68.69777300641911,77.8087888367623,92.8282748803916,68.43181810450298,80.8802200326244,76.97997880613251,74.72122666737208,5,Good
42021,Cambria,74.604616643,85.066530808,7.7,62.800328442,92.881057084,83.15197874,19.55249884,4.1366223909,17.6,10.401657061,5.1027024766,19.3,4.2653516704,5.7748931852,4.6438063109,33.105482803,46.083822824,46659,26008,15.397514692737872,126423,38.49888440969603,46.7580020171282,70.4117698964237,62.20443632216163,68.37124590753255,53.4893098455531,52.79269349833883,32,Average
42023,Cameron,74.597533113,31.273367055,7.6,50.233100233,90.981963928,81.11260655,24.898143957,5.0420168067,25.7,11.971830986,7.158836689,21.6,4.9308861008,6.097645599,4.2347400151,34.388164985,100.0,41165,24528,15.266841644794402,4572,32.31399402225914,25.586100184709586,49.73940809706178,47.915354741484556,51.69831449715364,38.39573953320554,38.260752466542925,64,Needs Improvement
42025,Carbon,74.451454503,64.865866654,8.4,55.652648826,90.260198365,87.941534714,13.90161931,3.871026783,17.6,14.196123147,6.8442647321,17.8,4.4084339658,5.7976220077,4.0883313395,37.723056061,58.919828878,57006,29202,11.713929473448639,62558,53.87171512777034,42.562430687551384,52.45046730728382,58.61064942992845,54.886786115582005,51.57249169772318,51.95354542043535,34,Average
42027,Centre,81.291223942,76.831550464,8.8,72.373571522,94.57256237,85.493000712,12.813634212,2.7043938579,10.0,17.359730267,6.2248995984,17.0,4.1069454382,5.4870079208,5.1837975399,42.360605152,34.648989707,60403,30753,18.15911374037281,143344,49.34291779949242,66.2572872401756,87.1450772686579,61.963615580588915,53.81586925262449,63.47234186597399,62.98879077456319,15,Good
42029,Chester,80.951138236,90.941837118,9.1,79.956537927,94.913037863,94.109335244,9.4902559987,2.5715156733,6.5,12.071053694,5.7480765562,12.5,3.2516901642,4.6283217352,4.4170378925,35.109365309,19.31221733,100214,50927,6.435575196796023,506870,93.2784256649964,95.58024325818033,96.37558538858616,74.35071934262058,78.69972403707203,90.17628589686153,86.48537825284602,1,Excellent
42031,Clarion,74.874097215,46.287693671,7.9,55.402606895,90.999763463,83.486850888,16.333743908,4.1523571652,17.3,12.406015038,8.1123976482,18.3,4.5056156188,5.7003429986,4.4711005845,34.631266363,84.796326629,46680,25157,16.269280976103577,37537,38.27031106402842,39.40628077043654,55.16916201967128,46.31991662384842,62.776284715812345,45.59211188091042,46.30424638991986,57,Average
42033,Clearfield,75.909673776,61.732578635,7.7,53.608519163,90.433409191,81.520147091,17.58574656,3.9242372689,19.8,11.716621253,6.4217630279,19.9,4.5505550226,5.5550806989,4.2424573592,32.856692076,61.309302152,49015,24403,14.554269585533513,74047,43.90538144924741,44.3402109474129,51.029203383235256,49.53024692170977,62.68714884591915,48.160759771122876,47.59952577068128,53,Average
42035,Clinton,76.576466394,58.106809079,8.1,48.717017671,89.678889911,83.261240005,12.390920355,4.0336521839,18.5,11.969904241,8.5045107564,19.1,4.5780492999,5.9419615631,4.7713716869,36.574554034,47.903871829,50923,25794,15.535834341804492,37185,39.44616180387421,36.3877735115484,42.9211948629908,46.35714123110576,59.62099269378486,42.43070134569187,44.31069997249662,62,Needs Improvement
42037,Columbia,76.494325052,73.979946545,8.3,58.092342502,91.808476664,86.25647368,15.248128639,3.6117643643,13.8,11.044137663,6.0266163594,17.9,4.5039801481,5.8963313477,4.7893486837,35.684301549,44.726312049,50550,26787,15.0,61000,43.47661370388496,46.009890043331424,61.21329860346278,60.93138870694583,69.5003765715706,52.877862305889835,51.8830151773339,35,Average
42039,Crawford,75.519499333,74.981533989,8.1,51.139002543,91.02516151,84.200975726,14.878432321,3.6735556848,17.5,11.542513168,10.016460503,19.2,4.553428414,5.7952560188,4.169349985,33.175324139,65.787843408,50304,26582,13.246851508347163,81944,49.39284264109924,32.5138168586804,50.85229165228492,56.752131152915545,66.03572009643578,48.233157020037766,48.07645486572299,52,Average
42041,Cumberland,79.337086628,87.313706069,8.8,70.247569174,93.4517372,90.945649177,13.143246494,2.6783558115,9.1,10.933385351,5.2963343945,15.7,3.6671629266,5.1113685007,3.8352682774,36.02967021,20.886502819,71269,37500,6.946831489473662,235647,79.21981194074746,77.08830516326506,80.42851983810186,72.12206686473748,76.19263818693798,77.56129768906528,76.66906639103209,4,Excellent
42043,Dauphin,76.795034381,88.703600895,8.1,66.597124405,91.479593627,89.314729925,17.486149584,3.2082086825,19.0,13.720236809,6.8963583743,19.3,4.0903538628,5.4950976715,4.3440119203,39.157840631,14.826414712,60715,33639,12.305160907115477,271057,59.96957654963849,52.10223981375405,68.70407773097207,70.85864390300388,52.12920413692646,60.59896546366771,60.431103572860856,17,Good
42045,Delaware,77.581734243,97.431825668,9.1,72.882959599,93.594126677,92.203452414,7.8062248123,3.1802975395,13.7,16.091015169,5.3941853767,14.3,3.7587237052,5.4708882107,5.0542911069,39.22071751,0.7848066155,74477,40026,9.993399752536684,543919,65.45256700053464,70.1012659290529,83.73337721075643,72.12047976734705,54.81865445713453,70.20769943539042,72.21295341796169,6,Good
42047,Elk,76.639146446,75.569538561,8.4,58.242280285,93.508548323,85.557451228,17.062046789,3.3278214138,13.8,6.4074074074,6.0490675436,17.2,4.3351442376,5.8071742408,3.7105691057,27.233420712,55.918038077,53440,29772,9.47797607111824,29922,62.34136101589506,50.56373499089292,68.21404219461795,64.11662524827014,89.32748538011697,63.53639281666756,60.28113858722759,18,Good
42049,Erie,75.969648176,85.095763375,7.0,63.417259099,92.581965235,87.453908052,13.037517418,3.8443903365,20.8,14.201726989,6.1448175097,19.0,4.2447752735,5.9228294433,4.7694097236,36.221406103,23.982560286,51529,28306,16.015343582826226,260956,41.9646115044509,45.59547826932841,69.84691252121675,51.8075537400407,51.98764809337351,50.92753339325418,51.668807354152534,40,Average
42051,Fayette,72.553899632,65.504176889,7.4,51.371655845,89.957488624,82.895455042,13.677388573,4.5451227968,27.1,12.228486921,6.4663282145,20.6,4.5987031199,5.7912661916,5.2281431379,35.828243568,55.105431508,47364,27368,17.271523387618043,126862,30.005457531717546,32.970128525968214,46.794448425816455,44.29086914798215,47.39439242090498,37.98612869045843,38.177051655990105,65,Needs Improvement
42053,Forest,70.927982277,88.269037717,6.3,32.260907889,85.642232683,71.604938272,7.5460307878,5.2478134111,29.3,10.364145658,7.720999627,23.8,4.756592684,5.4289451205,3.8935233612,42.190749522,100.0,39717,15245,18.10130085801273,3613,24.599812668134923,24.03467601801095,9.611190843891276,21.55408150174116,40.50892037206386,22.594855236189034,28.598614563146054,67,Needs Improvement
42055,Franklin,77.179295627,73.36338917,8.4,54.427714857,90.664615663,88.190962747,14.467629476,2.8896490955,11.3,10.856034274,8.5135320012,18.3,4.2330710016,5.6452385746,3.6102370807,35.600804957,44.481568889,63379,31221,9.250419725450175,151885,70.71688842375346,46.789031237962426,52.80923491176384,62.632116183614365,73.65038338726244,60.234027085237805,59.67721689133269,19,Average
42057,Fulton,75.721122073,48.20005496,8.6,54.582294264,89.294449671,81.708901884,16.514140233,3.0871753026,18.7,9.8497495826,6.0935412027,17.1,4.3962449639,5.8158896562,4.4096189926,31.604990007,100.0,53476,27396,11.270733569296967,14409,55.6064778117252,48.00753521697936,47.452481661599556,51.29642745502588,69.71296102478577,52.84008370081477,51.79938582762633,37,Average
42059,Greene,74.328558136,69.394225955,7.8,50.511945392,89.919020344,85.466515645,13.270634394,3.6925636759,18.4,9.4231458259,6.4053956978,18.5,4.3436956515,5.5944159794,4.8445104089,31.225361638,75.652222284,54776,27783,13.451380552220888,33320,46.08836356697937,45.64240948146994,45.74848427978088,51.37411042694926,71.50118758929251,49.24304361938911,50.48827201902188,45,Average
42061,Huntingdon,76.977274279,61.655175542,8.6,46.405106063,90.70088907,84.262376855,16.866523417,4.322514168,17.7,9.4932649134,5.8487053647,18.6,4.4409078763,5.698557561,4.2695683197,32.291464441,74.346820285,51678,25746,12.346516007532957,39825,44.74744728819628,49.50646835823669,44.64002571202977,59.29804327559699,71.10563579480971,50.73412648924453,50.940365573527714,42,Average
42063,Indiana,75.208508045,65.735290585,8.3,63.932726644,92.366159947,78.885757641,14.46532541,4.0528394389,18.5,11.457208944,7.8867775659,17.7,4.3670351627,5.5396612973,4.8168377823,34.554368762,59.841914326,49320,26509,16.28617606949846,79196,38.01845313975355,45.34568548754864,69.51224400654257,48.78216312173761,63.10829198270772,50.27255978165316,50.42342870877496,46,Average
42065,Jefferson,75.889233857,65.607300189,8.2,46.374774051,91.398907798,79.908826276,19.409051468,3.8309046908,23.5,11.214426599,8.5254137116,20.3,4.5227528497,5.8324194752,4.3351329573,37.89196844,73.469387755,47603,25509,15.14784914966382,42983,43.41442737035039,35.05575761426458,47.41915869692613,55.9565979174028,52.32802494330821,44.89839153599773,45.10800390396901,61,Average
42067,Juniata,75.90686125,54.21753371,8.7,41.871545645,83.255247946,81.182795699,22.708770727,3.4182623833,13.4,11.022272987,11.625874126,19.5,4.5710627007,5.8872108006,3.6207724265,30.6719103,100.0,53879,26239,10.840253226999916,24326,59.03310031732384,27.277843949897743,9.961222394857835,62.36412661194161,76.10937579431517,43.487192132865914,45.53322886678395,60,Average
42069,Lackawanna,75.755682253,91.721477007,8.1,63.367722636,91.643311433,87.112818073,10.249750713,3.7451550847,19.5,13.971220547,5.8253304575,17.8,4.1957267227,5.3613600411,4.9884144451,42.433559145,17.552895839,52821,29899,14.696044283501239,202694,43.8023515249084,55.7998126994235,66.0160807514101,59.295092153241626,46.96364359888733,53.884502965485396,54.35299618361698,30,Average
42071,Lancaster,78.805698989,81.201083576,8.8,59.762939032,87.148313547,86.851179846,13.689549053,2.7095972341,11.5,13.835689131,12.138111789,16.9,4.2293898912,5.5248984833,3.8139092982,40.347836928,27.875490068,66056,32194,10.14961791631989,528680,70.98320048968108,44.65897863256523,44.180695964762535,66.2193701055307,61.432101856908275,57.37195969951857,58.581397389352006,20,Average
42073,Lawrence,73.677921374,87.888927617,7.8,58.127348754,92.379203303,85.976947646,15.557048404,4.2132679638,18.5,11.381888673,6.8168364645,17.9,4.4750785652,5.9352232012,4.3827707694,31.665207665,42.420123156,50204,28926,13.793511021807223,84605,44.43881130604738,38.41182283037265,63.54761188881703,61.571968499936155,66.71251665352652,51.551168417513864,51.14300155797091,41,Average
42075,Lebanon,77.424086134,82.714980769,8.5,57.364775239,88.045617399,85.705332522,14.165584573,2.832246907,11.3,12.819576333,9.6977274138,17.4,4.3395690254,5.3694730754,4.0561218546,34.862807215,25.38584502,60281,29130,10.816751078734775,136039,63.89095895827023,48.035146217020895,45.30804276515403,63.55437244582444,70.40262643694491,56.81110130533525,55.833727248846984,24,Average
42077,Lehigh,78.016409886,88.255459116,8.4,64.873076647,90.293349477,88.686256056,10.124442956,3.6460317142,17.6,15.3024158,7.2686950074,19.3,4.1723233741,5.3388614831,4.6127654526,43.650190114,9.8679239742,63897,33566,12.492682322743342,355304,55.47860999795773,54.541737316031615,62.14072828068002,62.25022211613367,45.49177959593779,56.593874261545054,57.60786204056366,23,Average
42079,Luzerne,74.769768233,88.885237443,7.9,60.318630514,90.675311807,86.27860965,9.9886937791,4.3419959205,25.3,13.249211356,6.7133044121,19.8,4.4812337948,5.6582595219,4.7017510249,39.978392753,22.222461102,53473,28972,14.735771360539546,305739,41.157368284900784,41.06930496878069,58.95811217745849,55.293134371428266,42.930250391321124,46.99315435800346,47.20714690681535,55,Average
42081,Lycoming,76.089206071,54.685255894,7.8,60.015179991,91.13605961,86.632323976,15.207242891,3.5396954132,16.7,12.932644764,6.8195828923,16.7,4.3171269615,5.64050536,4.1667707899,35.882893189,40.438574982,54241,27950,13.6186662217031,107874,52.07849590564782,50.73812457785586,60.49879255133325,50.28436484656869,61.053537337391646,54.05584688714943,53.7089520150437,31,Average
42083,McKean,74.665195651,81.987039968,8.2,49.27889949,92.51346248,85.43569489,19.063863944,4.3582375479,21.0,9.2868462758,6.0576137292,17.3,4.5748323824,5.6664220545,4.1746940901,32.436746077,72.390680649,48647,27023,16.106892142279285,38319,40.83947481941188,45.51568962228175,54.91697611217271,67.29654107977385,66.54175274610013,51.36281651040463,50.29479035274526,47,Average
42085,Mercer,74.635678899,86.650037957,7.6,60.070506286,91.305121136,84.419920647,16.114264787,3.7759136456,18.8,10.949781659,7.032787913,17.9,4.4846725865,5.5860277719,4.5194446575,32.9709085,47.944004627,50696,27639,13.904637441623585,104066,45.99724769071983,44.077903179105206,61.236863091615206,58.47086295052836,65.62504150262129,52.399156313156666,51.854503335343246,36,Average
42087,Mifflin,75.326203809,70.157987127,7.6,41.820711588,84.350731722,82.255972327,16.091154214,3.461881723,21.5,11.373390558,11.391801716,20.9,4.8775296569,6.0285642962,3.8576324432,33.842200211,54.491472163,50219,25469,13.454992643344973,45537,52.44867788739123,18.935116270977108,14.31949792751743,50.31044216413777,59.74793629231507,36.8536419733173,40.0812471730595,63,Needs Improvement
42089,Monroe,76.844765879,78.531667528,8.4,60.881384286,90.315926609,91.841418711,7.3565473271,4.4767075476,13.9,15.74902888,6.8320255454,18.1,4.2149652639,5.6231959428,4.1861865273,46.069910636,56.76035336,63934,29662,11.203111505686108,165579,51.70847239694838,51.250619337461025,58.09433051997176,58.4923149805584,47.07623949000985,53.42553385352886,55.19441806911178,27,Average
42091,Montgomery,80.01904733,96.54744073,9.2,80.113499757,94.903254467,93.7022134,10.882600907,2.7677548165,7.9,13.087612554,4.3492276462,13.5,3.4457595852,4.9629071338,4.5798505745,37.903165387,3.3365127435,91546,48845,5.923284139879108,802207,87.10580824041182,89.05041587718877,96.49888016864637,78.66191881230286,71.1836831348112,86.61177861047656,85.0914035332783,2,Excellent
42093,Montour,77.535164828,60.399205999,8.6,74.439655172,92.818888135,85.563792431,17.688353325,2.6857081957,12.9,12.575250836,4.4368600683,18.1,3.9705757227,5.5578072222,5.13983185,36.310150916,54.284296427,58333,34575,10.463923401345037,17546,59.60165949714508,62.418770773235984,82.22536223724758,61.46227449299403,66.85085652613331,65.83468981646448,66.47564181919248,11,Good
42095,Northampton,78.920858659,90.044767392,8.7,68.832254298,92.655013534,89.120629486,9.7009349315,3.4580710391,14.6,13.274893046,5.7671152431,16.5,3.974953837,5.5586617632,4.0492639447,39.878169207,16.857910663,70471,35270,8.579243036228428,291401,68.49812979881575,64.33891069778723,75.75356918497235,65.34510497776085,58.6390703429112,67.45055323204124,67.52284660892516,9,Good
42097,Northumberland,75.630595581,69.973921678,8.3,53.232531501,90.012754145,82.717330566,16.087337601,3.955688791,15.8,10.743912229,6.6667647578,19.1,4.6367482108,6.0726148391,4.3621996756,33.15769793,35.259201065,48671,26389,13.188870748609984,87589,45.244544655065305,36.856301676921795,48.9457331595017,56.78819866523459,70.22102416507038,48.11691766394261,48.11530339323577,51,Average
42099,Perry,76.457561207,54.293006413,9.0,49.211036265,89.866859449,85.49802545,15.830333521,2.8614818959,14.6,9.8176718093,9.8265420766,17.7,4.2872524689,5.8002315581,3.8245916692,29.471089198,93.516862266,63718,30785,9.293164913516131,45442,69.13196023042623,40.434191842508305,44.190093760733774,60.10821509674154,78.3196361812294,56.53435066453588,57.68104160710568,22,Average
42101,Philadelphia,73.942569718,100.0,8.1,68.795281826,87.396519093,87.496376389,7.7460124625,4.2313760756,25.8,22.263033359,7.7292722861,24.4,4.588609676,6.1869895837,6.2592029802,55.181407402,0.0,45927,27924,24.342643053989608,1535277,16.755505252639665,21.097029321388874,54.541927183226456,59.07750651357588,5.116959064327489,30.582616226253542,36.27868208758244,66,Needs Improvement
42103,Pike,79.349816395,60.975484753,8.6,65.502569043,93.206629834,90.395268441,7.1006308002,4.624099264,13.4,16.895074946,6.8122690803,15.9,4.0801384473,5.2848460038,3.8856620415,48.429523836,87.233279235,65928,34589,9.543726927203624,54989,58.090823250470216,65.78016695172695,74.5235032632038,52.15707176149235,42.58360610684015,60.85891074062143,62.65288509636232,16,Good
42105,Potter,76.397625686,27.970236643,8.3,49.10416034,90.824456932,82.980612698,17.879161529,4.7598189517,17.7,12.37274863,7.0157855174,18.1,4.5637822127,5.9358541054,3.944051972,33.28781331,100.0,45419,24797,13.465023559260603,16554,40.12295675873689,41.754329768550505,47.935084110744675,45.019049132488895,63.86375085192862,45.201718746973825,45.719884687221835,58,Average
42107,Schuylkill,74.539095473,75.902662724,8.3,53.018190244,89.995393563,84.74375707,12.718023256,4.017600629,21.0,10.39372853,7.1665493088,20.2,4.5549810747,6.0785790661,4.4390587216,33.302351959,47.064991716,52280,27431,12.437317870508705,135206,46.79281384485063,32.52851982914505,48.65367062813344,56.364239465317866,63.1823496303337,46.67357911919919,47.04367317719038,56,Average
42109,Snyder,79.689681893,62.281054963,8.7,47.231572838,84.31372549,81.043370678,15.383839403,3.3938477055,13.5,9.7739130435,10.029427868,16.4,4.4775887172,5.9553808912,3.890386927,32.817342008,70.346788806,58997,27482,10.4472131147541,38125,59.99602600001799,44.083425732462175,19.778735419179814,54.718654632364704,76.0287693681953,48.78608644863114,50.5994120757105,44,Average
42111,Somerset,75.724015678,62.155161947,8.1,48.938079569,90.054977063,80.183000241,21.042497593,3.9579620183,15.9,9.4610985964,7.6343072573,19.5,4.6230570785,5.9893941213,4.1873604288,31.572143313,77.597161705,49089,25781,12.388189318280505,69090,47.210429518477234,35.13678695948117,44.664635249601375,56.495429824177414,74.66276647323345,47.820843766283694,47.39063929238694,54,Average
42113,Sullivan,76.166781952,38.390410959,7.6,44.120171674,91.817063167,79.337539432,15.37147737,3.9041360649,19.9,10.208333333,8.0703569581,21.8,4.3595868372,5.6910057182,4.7587131367,32.898798738,100.0,47407,30375,13.198312236286919,5925,44.44504641922433,37.98458100676896,46.766013138563494,35.031598669194054,65.66160828255154,44.0037624338065,45.61931576730561,59,Average
42115,Susquehanna,76.608476655,54.883696727,8.1,49.956233588,91.476418557,87.288189782,9.7179177391,3.2291157792,16.1,12.216461439,8.9336668193,15.4,4.2086070994,5.4761783791,4.3774312427,32.737321661,100.0,54966,31309,12.023532901567211,40454,56.659534389553926,51.954496296399235,51.443362586905934,45.9572401244208,67.1880620535201,53.8875491323623,55.54276383256186,26,Average
42117,Tioga,76.287727797,54.255085881,7.5,54.288926363,91.965498506,85.98473466,14.839682771,3.8461538462,18.2,11.658506732,7.6220420321,18.4,4.509304835,5.7774760446,4.2888311876,33.918751391,100.0,51324,26301,13.23026609186859,40362,47.399443532804696,42.17866064185856,57.903386602082094,46.31314372582296,63.88179508669441,49.68032660826535,49.07074629866768,49,Average
42119,Union,80.293131864,77.915231602,7.9,46.258176222,86.684726699,76.644989861,15.67471458,2.8562808006,11.6,11.275216138,8.8746073582,19.0,4.3249563209,5.770198708,4.2681035031,28.656236398,63.201424521,59399,27079,11.82022596674347,36023,59.585026967507886,48.00666438928691,28.316663641763668,48.77084803646623,80.61326918992908,50.917461040389675,51.724308007129274,39,Average
42121,Venango,74.500279657,67.693344433,8.2,51.892759369,91.533623609,87.189579233,21.294975591,4.2319226924,20.8,9.8169717138,6.5057261143,18.1,4.5936480971,6.0945665297,4.1708013887,33.940547716,56.066912435,49945,26969,12.870269736192075,50605,45.71507087611913,36.996435707316266,53.68086659117931,67.41790440181074,63.92609417884491,50.20509858605677,49.743035584468274,48,Average
42123,Warren,75.508945638,77.533884469,8.2,57.809783958,93.915080943,82.859074427,16.398645789,3.7054032351,17.1,8.8052271313,5.8554079966,19.0,4.4814148787,5.833046858,3.9528592142,33.028241313,61.987197761,50250,28230,12.626884035681329,39012,52.364740346816646,43.77529146554302,69.40267196531403,59.144786213961474,72.55054511357497,56.66055180694527,55.05687039707672,29,Average
42125,Washington,75.943653762,81.03119671,8.0,70.683100319,94.044439767,89.049221468,12.643607136,3.4386803729,12.2,9.5954899454,5.5507125413,17.0,4.020955855,5.3092460695,4.5464839633,30.080434528,32.333567392,63543,35537,9.234515113724093,202068,62.042585739414356,60.95519947858978,83.26645473298663,60.236420740310685,81.5687406048208,67.69720370959776,67.16690579588179,10,Good
42127,Wayne,76.526869967,60.365555664,8.6,47.243280496,91.429657795,85.960421384,10.943270865,3.8824351472,16.5,13.931888545,7.3682735426,19.6,4.4111051404,5.5154118178,4.0527539403,35.920443087,86.216401134,56096,27412,11.435339496467728,47703,53.052222670864786,45.800452660078555,48.44316204613842,52.41645376657043,59.20043613612333,50.83692405410466,50.78851806005641,43,Average
42129,Westmoreland,76.60674812,89.256843821,8.1,71.951468449,95.394624403,87.155487904,13.918200746,3.4833777656,13.8,9.8955939326,4.7419233787,14.3,3.908337315,5.2717717989,4.6460877958,29.816158343,26.482604613,60471,34274,10.007321300934406,345567,58.39724440573591,70.649977265701,90.01760805135001,63.6401094101561,78.91384976993503,70.62259063693294,70.12591174528954,7,Good
42131,Wyoming,75.36470504,62.530208293,8.8,52.1107024,92.434070608,86.16415718,9.610209887,3.6717540367,17.0,10.094339623,5.1705675386,18.5,4.2714455298,5.7415394895,4.2287244401,33.686336101,95.323947984,59415,29584,10.422715788679815,26519,56.710091765417964,49.75238947088226,57.532408559296,53.24568722928164,69.201734386154,55.8646331322128,55.643464921948144,25,Average
42133,York,77.502162712,77.270735565,8.7,62.374674351,91.369586203,89.384985045,11.668813902,2.9792104551,12.0,11.953749362,5.7298532622,16.4,4.1499678332,5.5737804422,3.9698876163,35.55218992,28.456657859,66457,32623,9.616906487196955,435951,68.74150966526528,59.58522661935162,63.88465297396975,63.969442183065595,70.37724437518467,64.92883091418975,63.366148880325056,13,Good
